% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.968989469e+08 +1.968989469e+08 +1.968983258e+08 +1.968983258e+08 +2.3115e+00 -3.1774e-02 +3.5712e+00 -2.7184e+00 +2.4316e+00 -4.6949e+00 +3.5169e+00 -9.1715e-01 +4.9369e+00 -2.4015e-01
4 +1.569911225e+08 +1.569911225e+08 +1.569905014e+08 +1.569905014e+08 +1.2078e+00 +4.3949e+00 +3.0345e+00 +4.1907e+00 +1.4300e+00 -2.1898e-01 +4.8910e+00 +8.7662e-01 +4.7713e+00 -1.2905e+00
21 +6.210987873e+07 +6.210987873e+07 +6.210925762e+07 +6.210925762e+07 +1.0758e+00 +4.9177e+00 -3.3648e+00 -4.0664e+00 +3.7847e+00 -1.2568e+00 -2.5824e+00 +4.4133e+00 +8.5192e-01 -5.7427e-02
57 +3.341739629e+07 +3.341739629e+07 +3.341677518e+07 +3.341677518e+07 +9.2305e-01 +3.3466e+00 +8.5581e-01 -9.8923e-01 +5.0560e-01 -6.0445e-01 +1.3591e+00 +8.8825e-01 +7.4412e-01 -4.3026e+00
212 +1.900075954e+07 +1.900075954e+07 +1.900013843e+07 +1.900013843e+07 +4.4182e-01 +1.2628e+00 +6.8835e-01 -3.8958e+00 -2.2304e+00 -1.9796e+00 +6.8609e-01 -3.4051e+00 +1.2783e+00 +4.0380e-01
318 +3.359728665e+06 +3.359728665e+06 +3.359107555e+06 +3.359107555e+06 +2.4442e-01 +5.0000e+00 +4.3903e-01 -5.0000e+00 -1.1292e+00 -2.0167e+00 +1.3538e+00 -1.1351e+00 +1.1040e+00 -3.1699e-02
832 +2.329290859e+06 +2.329290859e+06 +2.328669749e+06 +2.328669749e+06 +1.3127e-01 +4.5092e+00 +1.0093e+00 -5.0000e+00 -1.4191e+00 -2.7169e+00 +1.1539e+00 -1.2059e+00 +7.4571e-02 -4.9615e-01
1455 +8.578768832e+05 +8.578768832e+05 +8.572557732e+05 +8.572557732e+05 -8.0519e-01 +4.4337e+00 +6.8366e-01 -4.4734e+00 -1.2891e+00 -1.8779e+00 +1.1357e+00 -8.3388e-01 +9.0206e-01 -1.1048e-01
2261 +5.762725850e+05 +5.762725850e+05 +5.756514750e+05 +5.756514750e+05 -1.0661e+00 +3.8917e+00 +6.4938e-01 -3.6044e+00 -5.6361e-01 -2.5980e+00 +1.1657e+00 -1.0929e+00 +9.3217e-01 -2.2078e-01
2414 +3.627162722e+05 +3.627162722e+05 +3.620951622e+05 +3.620951622e+05 -5.5862e-01 +3.7217e+00 +6.1295e-01 -4.5363e+00 -1.2294e+00 -2.5422e+00 +1.4103e+00 -6.6384e-01 +9.2962e-01 -3.8529e-01
3340 +2.173447526e+05 +2.173447526e+05 +2.167236426e+05 +2.167236426e+05 -8.6506e-01 +3.9537e+00 +6.5994e-01 -4.2923e+00 -1.0009e+00 -2.5890e+00 +1.3576e+00 -5.4355e-01 +7.6008e-01 -2.3543e-01
3852 +1.319234802e+05 +1.319234802e+05 +1.313023702e+05 +1.313023702e+05 -7.0504e-01 +4.0485e+00 +7.1473e-01 -4.3340e+00 -1.4527e+00 -2.5629e+00 +1.4151e+00 -6.3227e-01 +7.5527e-01 -3.5150e-01
4374 +8.662968355e+04 +8.662968355e+04 +8.600857355e+04 +8.600857355e+04 -7.9039e-01 +4.0276e+00 +5.7196e-01 -4.1142e+00 -1.0850e+00 -2.5992e+00 +1.4499e+00 -6.1465e-01 +8.0169e-01 -2.1147e-01
4961 +5.870264269e+04 +5.870264269e+04 +5.808153269e+04 +5.808153269e+04 -8.8478e-01 +3.9960e+00 +1.6183e-01 -3.8897e+00 -4.7516e-01 -2.1212e+00 +1.5129e+00 -6.6265e-01 +1.3354e+00 -3.0406e-01
5482 +3.811117046e+04 +3.811117046e+04 +3.749006046e+04 +3.749006046e+04 -8.2533e-01 +4.0030e+00 +1.5384e-01 -3.8507e+00 -2.6255e-01 -2.1023e+00 +1.3628e+00 -8.3094e-01 +1.2685e+00 -2.9803e-01
6034 +2.196014333e+04 +2.196014333e+04 +2.133903333e+04 +2.133903333e+04 -7.4833e-01 +4.0348e+00 +6.7607e-01 -4.1247e+00 -1.3070e+00 -2.4428e+00 +1.5448e+00 -6.4049e-01 +7.6360e-01 -1.9698e-01
6877 +1.560789089e+04 +1.560789089e+04 +1.498678089e+04 +1.498678089e+04 -7.5169e-01 +4.0341e+00 +6.7016e-01 -4.1103e+00 -1.3055e+00 -2.4578e+00 +1.5769e+00 -6.5887e-01 +7.6069e-01 -1.9703e-01
